jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,posicion,team_id,href,prob,lesion,sancion
Juan Funes,-35537,1243528,1279065,1541555,Entrenador,11,https://www.futbolfantasy.com/jugadores/juan-funes,0%,-1,0
Luis Castro,-34932,1228985,1263917,1522201,Entrenador,10,https://www.futbolfantasy.com/jugadores/luis-castro,0%,-1,0
Pepe Bordalas,-1681364,40743354,42424718,54106540,Entrenador,8,https://www.futbolfantasy.com/jugadores/pepe-bordalas,0%,-1,0
Martin Anselmi,-48766,1561011,1609777,1964049,Entrenador,21,https://www.futbolfantasy.com/jugadores/martin-anselmi,0%,-1,0
Jonathan Asp Jensen,-137077,6210942,6348019,0,Mediocampista,6,https://www.futbolfantasy.com/jugadores/jonathan-asp-jensen,0%,-1,0
Antonio Hidalgo,-49550,1579834,1629384,1989100,Entrenador,6,https://www.futbolfantasy.com/jugadores/antonio-hidalgo,0%,-1,0
Claudio Giraldez,-78921,2284741,2363662,2905854,Entrenador,5,https://www.futbolfantasy.com/jugadores/claudio-giraldez,0%,-1,0
Manuel Pellegrini,-142833,4178312,4321145,5256417,Entrenador,4,https://www.futbolfantasy.com/jugadores/manuel-pellegrini,0%,-1,0
Hansi Flick,-252985,9437818,9690803,11450922,Entrenador,3,https://www.futbolfantasy.com/jugadores/hansi-flick,0%,-1,0
Diego Simeone,-170953,5554150,5725103,6913032,Entrenador,2,https://www.futbolfantasy.com/jugadores/diego-simeone,0%,-1,0
Edin Terzic,-294694,7463293,7757987,9798180,Entrenador,1,https://www.futbolfantasy.com/jugadores/edin-terzic,0%,-1,0
Quique Sanchez,-18535,835465,854000,998520,Entrenador,28,https://www.futbolfantasy.com/jugadores/quique-sanchez,0%,-1,0
Robbie Ure,-15330,11876353,11891683,0,Delantero,17,https://www.futbolfantasy.com/jugadores/robbie-ure,0%,-1,0
Yassir Zabiri,-127147,5462751,5589898,0,Delantero,42,https://www.futbolfantasy.com/jugadores/yassir-zabiri,20%,-1,0
Fernando Niño,-271097,14639729,14910826,0,Delantero,21,https://www.futbolfantasy.com/jugadores/fernando-niño,0%,-1,0
Facundo Buonanotte,-119064,6830769,6949833,0,Mediocampista,21,https://www.futbolfantasy.com/jugadores/facundo-buonanotte,40%,-1,0
Yeremay Hernandez,-542431,50073937,50616368,57916612,Delantero,6,https://www.futbolfantasy.com/jugadores/yeremay-hernandez,0%,2,0
Chupete,-874536,49795130,50669666,53207243,Delantero,11,https://www.futbolfantasy.com/jugadores/chupete,80%,-1,0
Sebastian Boselli,-69826,2580106,2649932,2893999,Defensa,8,https://www.futbolfantasy.com/jugadores/sebastian-boselli,40%,-1,0
