jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha,diferencia_valor_fmt,valor_actual_fmt,valor_anterior_fmt,puja_maxima_rentable_fmt
Nicolas Pepe,2022577,33317243,31294666,22155463,Swedish,2025-09-03,2.022.577,33.317.243,31.294.666,22.155.463
Vinicius Junior,2014743,110016895,108002152,101568381,,2025-09-03,2.014.743,110.016.895,108.002.152,101.568.381
Joan Garcia,1939829,59956356,58016527,51977036,Adri,2025-09-03,1.939.829,59.956.356,58.016.527,51.977.036
Arda Guler,1800604,85514762,83714158,79303841,,2025-09-03,1.800.604,85.514.762,83.714.158,79.303.841
Franco Mastantuono,1746328,27389120,25642792,17026012,Carre,2025-09-03,1.746.328,27.389.120,25.642.792,17.026.012
Isi Palazon,1575260,32151116,30575856,27901648,Adri,2025-09-03,1.575.260,32.151.116,30.575.856,27.901.648
Etta Eyong,1379356,18049985,16670629,11091586,Carre,2025-09-03,1.379.356,18.049.985,16.670.629,11.091.586
Lamine Yamal,1314832,144395689,143080857,141892190,,2025-09-03,1.314.832,144.395.689,143.080.857,141.892.190
Dean Huijsen,1177754,97579726,96401972,90489506,Carre,2025-09-03,1.177.754,97.579.726,96.401.972,90.489.506
Alvaro F. Carreras,1108504,57888200,56779696,49491234,Carre,2025-09-03,1.108.504,57.888.200,56.779.696,49.491.234
Tajon Buchanan,1062273,13298397,12236124,6493743,,2025-09-03,1.062.273,13.298.397,12.236.124,6.493.743
Oihan Sancet,1003360,46756706,45753346,40575733,,2025-09-03,1.003.360,46.756.706,45.753.346,40.575.733
Aitor Paredes,916359,12266153,11349794,9304772,Adri,2025-09-03,916.359,12.266.153,11.349.794,9.304.772
Ferran Torres,907146,38013124,37105978,29955293,,2025-09-03,907.146,38.013.124,37.105.978,29.955.293
Rafa Marin,903399,19024177,18120778,13506252,Carre,2025-09-03,903.399,19.024.177,18.120.778,13.506.252
Santiago Mouriño,834737,16735920,15901183,10166203,Enric,2025-09-03,834.737,16.735.920,15.901.183,10.166.203
Pape Gueye,817411,17267340,16449929,11426078,,2025-09-03,817.411,17.267.340,16.449.929,11.426.078
Marc Bartra,798729,29223079,28424350,22546979,,2025-09-03,798.729,29.223.079,28.424.350,22.546.979
Giuliano Simeone,726702,34462215,33735513,31636118,Carre,2025-09-03,726.702,34.462.215,33.735.513,31.636.118
Federico Valverde,686804,91038670,90351866,89949355,,2025-09-03,686.804,91.038.670,90.351.866,89.949.355
Kylian Mbappe,666105,144435285,143769180,140871580,Swedish,2025-09-03,666.105,144.435.285,143.769.180,140.871.580
Sergi Cardona,661823,24103953,23442130,19061362,Enric,2025-09-03,661.823,24.103.953,23.442.130,19.061.362
Luis Milla,657304,19613537,18956233,14789990,Carre,2025-09-03,657.304,19.613.537,18.956.233,14.789.990
Adrian Liso,632042,7012895,6380853,3732740,Swedish,2025-09-03,632.042,7.012.895,6.380.853,3.732.740
Valentin Rosier,617892,10490467,9872575,7210785,Enric,2025-09-03,617.892,10.490.467,9.872.575,7.210.785
Nico Williams,604577,108632432,108027855,104388581,,2025-09-03,604.577,108.632.432,108.027.855,104.388.581
Luiz Junior,582548,15951788,15369240,11376260,Carre,2025-09-03,582.548,15.951.788,15.369.240,11.376.260
Aurelien Tchouameni,582267,53952503,53370236,48069434,,2025-09-03,582.267,53.952.503,53.370.236,48.069.434
Thiago Almada,542221,28592926,28050705,24241465,Adri,2025-09-03,542.221,28.592.926,28.050.705,24.241.465
Junior Firpo,522163,12061617,11539454,9965861,Carre,2025-09-03,522.163,12.061.617,11.539.454,9.965.861
Carlos Vicente,505410,16576704,16071294,15843551,Carre,2025-09-03,505.410,16.576.704,16.071.294,15.843.551
Ander Barrenetxea,502415,8546564,8044149,5523039,,2025-09-03,502.415,8.546.564,8.044.149,5.523.039
Javi Guerra,489633,20635872,20146239,19264556,,2025-09-03,489.633,20.635.872,20.146.239,19.264.556
Rafa Mir,464231,5924528,5460297,3684561,Adri,2025-09-03,464.231,5.924.528,5.460.297,3.684.561
David Affengruber,446561,6046152,5599591,3575899,Swedish,2025-09-03,446.561,6.046.152,5.599.591,3.575.899
Nahuel Tenaglia,433451,10216202,9782751,7546549,,2025-09-03,433.451,10.216.202,9.782.751,7.546.549
Rodrigo Riquelme,430296,25855299,25425003,22481861,,2025-09-03,430.296,25.855.299,25.425.003,22.481.861
Aaron Escandell,429143,6884316,6455173,4536736,Swedish,2025-09-03,429.143,6.884.316,6.455.173,4.536.736
Sergi Altimira,425113,8918151,8493038,5900129,Swedish,2025-09-03,425.113,8.918.151,8.493.038,5.900.129
Ruben Vargas,410364,8082922,7672558,7392518,,2025-09-03,410.364,8.082.922,7.672.558,7.392.518
Pere Milla,405620,5548525,5142905,3185437,,2025-09-03,405.620,5.548.525,5.142.905,3.185.437
Boyomo,403285,14344949,13941664,11850694,,2025-09-03,403.285,14.344.949,13.941.664,11.850.694
Jorge De Frutos,395029,19894191,19499162,16754790,Swedish,2025-09-03,395.029,19.894.191,19.499.162,16.754.790
German Valera,384834,4690076,4305242,2502077,,2025-09-03,384.834,4.690.076,4.305.242,2.502.077
Alex Berenguer,384657,22657055,22272398,20961554,,2025-09-03,384.657,22.657.055,22.272.398,20.961.554
Luis Rioja,379646,15274860,14895214,14286921,,2025-09-03,379.646,15.274.860,14.895.214,14.286.921
Carles Aleña,373708,7844051,7470343,5682449,Swedish,2025-09-03,373.708,7.844.051,7.470.343,5.682.449
Juan Foyth,369998,24564127,24194129,22923164,Adri,2025-09-03,369.998,24.564.127,24.194.129,22.923.164
Edu Exposito,342748,7937110,7594362,6197739,Enric,2025-09-03,342.748,7.937.110,7.594.362,6.197.739
Alvaro Rodriguez,338671,4419923,4081252,2712139,,2025-09-03,338.671,4.419.923,4.081.252,2.712.139
Julen Agirrezabala,332876,12342114,12009238,10284902,,2025-09-03,332.876,12.342.114,12.009.238,10.284.902
Giovani Lo Celso,331441,75259986,74928545,68471651,,2025-09-03,331.441,75.259.986,74.928.545,68.471.651
Arnaut Danjuma,314582,7711920,7397338,6480738,,2025-09-03,314.582,7.711.920,7.397.338,6.480.738
Yuri Berchiche,307868,10986153,10678285,9422400,Carre,2025-09-03,307.868,10.986.153,10.678.285,9.422.400
Eric Garcia,305184,16619469,16314285,14621891,,2025-09-03,305.184,16.619.469,16.314.285,14.621.891
Hugo Duro,303882,14586193,14282311,14169529,,2025-09-03,303.882,14.586.193,14.282.311,14.169.529
Alejandro Catena,290346,14970963,14680617,12410294,,2025-09-03,290.346,14.970.963,14.680.617,12.410.294
Carlos Romero,282601,5023095,4740494,4576618,,2025-09-03,282.601,5.023.095,4.740.494,4.576.618
Jesus Areso,277882,9730194,9452312,8191700,,2025-09-03,277.882,9.730.194,9.452.312,8.191.700
Pedro Bigas,259712,4063111,3803399,2754830,,2025-09-03,259.712,4.063.111,3.803.399,2.754.830
Lucien Agoume,258377,5592313,5333936,4246985,,2025-09-03,258.377,5.592.313,5.333.936,4.246.985
Cesar Tarrega,257085,11847638,11590553,10685366,Enric,2025-09-03,257.085,11.847.638,11.590.553,10.685.366
Javi Rueda,252292,2188726,1936434,1086606,,2025-09-03,252.292,2.188.726,1.936.434,1.086.606
Matias Dituro,245504,4597263,4351759,3116026,,2025-09-03,245.504,4.597.263,4.351.759,3.116.026
Alfonso Gonzalez,240920,6713523,6472603,0,Enric,2025-09-03,240.920,6.713.523,6.472.603,0
Alvaro Garcia,232040,18065879,17833839,16989586,,2025-09-03,232.040,18.065.879,17.833.839,16.989.586
Hugo Sotelo,222563,2628490,2405927,1308502,,2025-09-03,222.563,2.628.490,2.405.927,1.308.502
Hector Bellerin,213663,8248949,8035286,5704376,,2025-09-03,213.663,8.248.949,8.035.286,5.704.376
Mouctar Diakhaby,205890,3640913,3435023,3075392,,2025-09-03,205.890,3.640.913,3.435.023,3.075.392
Mikel Jauregizar,201859,10726617,10524758,9535059,,2025-09-03,201.859,10.726.617,10.524.758,9.535.059
Pathe Ciss,199361,4693444,4494083,3639442,,2025-09-03,199.361,4.693.444,4.494.083,3.639.442
Kike Salas,195609,5224477,5028868,4596803,Swedish,2025-09-03,195.609,5.224.477,5.028.868,4.596.803
Pablo Torre,194149,8700710,8506561,8687491,,2025-09-03,194.149,8.700.710,8.506.561,8.687.491
Pablo Fornals,193481,19558521,19365040,17238888,,2025-09-03,193.481,19.558.521,19.365.040,17.238.888
Leander Dendoncker,191699,4486154,4294455,4333517,,2025-09-03,191.699,4.486.154,4.294.455,4.333.517
Dimitri Foulquier,182041,7582133,7400092,6793028,,2025-09-03,182.041,7.582.133,7.400.092,6.793.028
Leandro Cabrera,180706,6226388,6045682,6004568,,2025-09-03,180.706,6.226.388,6.045.682,6.004.568
