jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha,diferencia_valor_fmt,valor_actual_fmt,valor_anterior_fmt,puja_maxima_rentable_fmt
Fermin Lopez,-266182,15064143,15330325,17123032,Carre,2025-09-02,-266.182,15.064.143,15.330.325,17.123.032
Pepelu,-268336,11047607,11315943,12447988,,2025-09-02,-268.336,11.047.607,11.315.943,12.447.988
Dani Parejo,-280368,9224532,9504900,11145594,,2025-09-02,-280.368,9.224.532,9.504.900,11.145.594
Jose Gaya,-280525,9456518,9737043,11680891,,2025-09-02,-280.525,9.456.518,9.737.043,11.680.891
Gonzalo Garcia,-281004,10091215,10372219,11885576,,2025-09-02,-281.004,10.091.215,10.372.219,11.885.576
Giacomo Raspadori,-281878,8763580,9045458,10763648,,2025-09-02,-281.878,8.763.580,9.045.458,10.763.648
Conor Gallagher,-283121,9740504,10023625,11797401,,2025-09-02,-283.121,9.740.504,10.023.625,11.797.401
Axel Witsel,-287839,9129958,9417797,11342416,,2025-09-02,-287.839,9.129.958,9.417.797,11.342.416
Johan Mojica,-287920,11248358,11536278,12997466,,2025-09-02,-287.920,11.248.358,11.536.278,12.997.466
Gonçalo Guedes,-292985,10546238,10839223,12342802,,2025-09-02,-292.985,10.546.238,10.839.223,12.342.802
Pedri Gonzalez,-298998,114663548,114962546,110817417,,2025-09-02,-298.998,114.663.548,114.962.546,110.817.417
Eduardo Camavinga,-301651,10620648,10922299,12899006,,2025-09-02,-301.651,10.620.648,10.922.299,12.899.006
Brais Mendez,-310953,16102812,16413765,16848012,Adri,2025-09-02,-310.953,16.102.812,16.413.765,16.848.012
Ricardo Rodriguez,-319727,12587500,12907227,14254093,,2025-09-02,-319.727,12.587.500,12.907.227,14.254.093
Daniel Raba,-345906,17314814,17660720,16959789,,2025-09-02,-345.906,17.314.814,17.660.720,16.959.789
Antonio Raillo,-350542,16458639,16809181,17954832,Adri,2025-09-02,-350.542,16.458.639,16.809.181,17.954.832
Pablo Barrios,-353804,33944457,34298261,36098172,,2025-09-02,-353.804,33.944.457,34.298.261,36.098.172
Bryan Zaragoza,-366085,18268569,18634654,21244717,,2025-09-02,-366.085,18.268.569,18.634.654,21.244.717
Pablo Gavi,-386472,19285416,19671888,20573197,,2025-09-02,-386.472,19.285.416,19.671.888,20.573.197
Iñaki Williams,-387895,46660865,47048760,52195682,,2025-09-02,-387.895,46.660.865,47.048.760,52.195.682
Paulo Gazzaniga,-393854,12935794,13329648,15656226,,2025-09-02,-393.854,12.935.794,13.329.648,15.656.226
Gerard Moreno,-396213,12320827,12717040,15404438,,2025-09-02,-396.213,12.320.827,12.717.040,15.404.438
Matteo Ruggeri,-401914,16470003,16871917,17794635,Adri,2025-09-02,-401.914,16.470.003,16.871.917,17.794.635
Vitor Reis,-439468,13610750,14050218,16925126,,2025-09-02,-439.468,13.610.750,14.050.218,16.925.126
David Soria,-457129,26520894,26978023,27634458,,2025-09-02,-457.129,26.520.894,26.978.023,27.634.458
Unai Simon,-460099,38791060,39251159,41160521,,2025-09-02,-460.099,38.791.060,39.251.159,41.160.521
Viktor Tsygankov,-462393,14165596,14627989,16649392,,2025-09-02,-462.393,14.165.596,14.627.989,16.649.392
Frenkie De Jong,-493526,53852448,54345974,58976313,,2025-09-02,-493.526,53.852.448,54.345.974,58.976.313
Oscar Mingueza,-514724,23357934,23872658,26615767,,2025-09-02,-514.724,23.357.934,23.872.658,26.615.767
Renato Veiga,-559055,20804394,21363449,22743453,,2025-09-02,-559.055,20.804.394,21.363.449,22.743.453
Alexander Sorloth,-575098,32380514,32955612,31003251,,2025-09-02,-575.098,32.380.514,32.955.612,31.003.251
Dani Vivian,-599243,40800836,41400079,42574972,,2025-09-02,-599.243,40.800.836,41.400.079,42.574.972
Takefusa Kubo,-601033,60674224,61275257,59795726,,2025-09-02,-601.033,60.674.224,61.275.257,59.795.726
Alex Remiro,-659493,29424837,30084330,33057495,,2025-09-02,-659.493,29.424.837,30.084.330,33.057.495
Antoine Griezmann,-682685,31577567,32260252,36695620,,2025-09-02,-682.685,31.577.567,32.260.252,36.695.620
Johnny Cardoso,-686637,28387946,29074583,30049373,,2025-09-02,-686.637,28.387.946,29.074.583,30.049.373
Marcos Llorente,-727476,31881347,32608823,36149100,,2025-09-02,-727.476,31.881.347,32.608.823,36.149.100
Robin Le Normand,-752265,31054343,31806608,35173453,,2025-09-02,-752.265,31.054.343,31.806.608,35.173.453
Ronald Araujo,-765515,30450060,31215575,30921317,,2025-09-02,-765.515,30.450.060,31.215.575,30.921.317
Dani Olmo,-770282,41496185,42266467,45923478,,2025-09-02,-770.282,41.496.185,42.266.467,45.923.478
Marcus Rashford,-792410,37125986,37918396,40565933,,2025-09-02,-792.410,37.125.986,37.918.396,40.565.933
Ayoze Perez,-816208,40314683,41130891,44709263,,2025-09-02,-816.208,40.314.683,41.130.891,44.709.263
Raphinha,-829091,123313449,124142540,123843943,,2025-09-02,-829.091,123.313.449,124.142.540,123.843.943
Jan Oblak,-856652,41688583,42545235,47042650,,2025-09-02,-856.652,41.688.583,42.545.235,47.042.650
Trent Alexander-Arnold,-959401,52193366,53152767,60669484,,2025-09-02,-959.401,52.193.366,53.152.767,60.669.484
Jules Kounde,-1010973,50267850,51278823,57599410,,2025-09-02,-1.010.973,50.267.850,51.278.823,57.599.410
Alejandro Balde,-1160162,55100587,56260749,62815827,,2025-09-02,-1.160.162,55.100.587,56.260.749,62.815.827
Isco Alarcon,-1362567,43318269,44680836,54164125,,2025-09-02,-1.362.567,43.318.269,44.680.836,54.164.125
Pau Cubarsi,-1409330,66763173,68172503,74570281,,2025-09-02,-1.409.330,66.763.173,68.172.503,74.570.281
Robert Lewandowski,-1452341,68971043,70423384,74845534,,2025-09-02,-1.452.341,68.971.043,70.423.384,74.845.534
Alex Baena,-1590467,56975553,58566020,69937181,,2025-09-02,-1.590.467,56.975.553,58.566.020,69.937.181
Julian Alvarez,-1860340,100226354,102086694,108529591,,2025-09-02,-1.860.340,100.226.354,102.086.694,108.529.591
