jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha
Oscar Valentin,-36.581,1.236.973,1.273.554,1.523.458,,2025-09-04
Carlos Soler,-36.661,18.356.117,18.392.778,0,,2025-09-04
Dro FernáNdez,-36.822,1.277.843,1.314.665,1.525.996,,2025-09-04
Salomon Rondon,-36.919,1.689.339,1.726.258,1.923.184,,2025-09-04
Juan Iglesias,-37.012,2.347.578,2.384.590,2.369.904,,2025-09-04
Abel Ruiz,-38.288,1.277.951,1.316.239,1.589.389,,2025-09-04
Ilias Akhomach,-38.876,1.593.415,1.632.291,1.842.913,,2025-09-04
Pep Chavarria,-39.660,3.562.691,3.602.351,3.563.782,,2025-09-04
Logan Costa,-39.908,1.316.820,1.356.728,1.641.037,,2025-09-04
Alfonso Espino,-40.880,1.340.156,1.381.036,1.644.945,,2025-09-04
Pablo Garcia,-40.905,3.661.846,3.702.751,3.833.414,,2025-09-04
Aritz Elustondo,-41.342,1.351.228,1.392.570,1.659.499,,2025-09-04
Peque,-41.434,1.353.437,1.394.871,1.660.292,,2025-09-04
Jorge Herrando,-42.272,1.373.559,1.415.831,1.697.207,,2025-09-04
Williot Swedberg,-42.298,1.397.188,1.439.486,1.710.532,,2025-09-04
Alex Padilla,-42.366,1.375.805,1.418.171,1.695.800,,2025-09-04
Raul Garcia,-42.855,1.457.368,1.500.223,1.776.906,,2025-09-04
Santi Comesaña,-43.632,6.293.284,6.336.916,6.528.265,Adri,2025-09-04
Marc Bernal,-43.781,2.478.656,2.522.437,0,,2025-09-04
Joan Jordan,-43.784,1.409.858,1.453.642,0,,2025-09-04
Mateu Morey,-44.231,2.046.407,2.090.638,2.178.537,,2025-09-04
Tyrhys Dolan,-44.385,3.796.252,3.840.637,4.146.077,,2025-09-04
Gerard Gumbau,-44.792,1.434.038,1.478.830,1.785.558,,2025-09-04
Samu Costa,-44.829,2.012.684,2.057.513,2.376.212,,2025-09-04
Willy Kambwala,-44.947,1.437.758,1.482.705,1.799.750,,2025-09-04
Iker Losada,-45.313,1.446.542,1.491.855,1.784.057,,2025-09-04
Aihen Muñoz,-45.373,1.745.621,1.790.994,2.060.171,,2025-09-04
Mikel Oyarzabal,-45.631,37.593.529,37.639.160,36.014.418,,2025-09-04
Eric Bailly,-45.847,1.836.966,1.882.813,2.142.017,,2025-09-04
Baptiste Santamaria,-45.969,4.195.053,4.241.022,4.572.737,,2025-09-04
Angel Ortiz,-46.422,1.755.961,1.802.383,2.150.881,,2025-09-04
Cristian Portu,-46.755,1.534.799,1.581.554,1.865.186,,2025-09-04
Carlos Benavidez,-47.958,1.510.023,1.557.981,1.887.574,,2025-09-04
Pablo Martinez,-48.719,2.149.688,2.198.407,2.366.377,,2025-09-04
Santiago Colombatto,-48.722,1.528.359,1.577.081,1.902.150,,2025-09-04
Matias Moreno,-49.735,1.552.667,1.602.402,1.942.836,,2025-09-04
Jan Virgili,-49.985,2.481.978,2.531.963,0,,2025-09-04
Mateo Joseph,-50.770,2.671.188,2.721.958,3.095.588,,2025-09-04
Mathew Ryan,-51.852,3.122.253,3.174.105,0,,2025-09-04
Jon Pacheco,-51.942,1.625.518,1.677.460,2.007.407,,2025-09-04
Ander Guevara,-52.102,1.737.070,1.789.172,2.110.795,,2025-09-04
Joseph Aidoo,-52.699,1.623.815,1.676.514,2.033.881,,2025-09-04
